timestamp,gasUsed,gasPrice,blockNumber
1727610083,0,7018793430,20856062
1727610107,0,5241950366,20856064
1727610131,0,10058353810,20856066
1727610239,0,5940556204,20856075
1727610335,0,7529844987,20856083
1727610335,0,7529844987,20856083
1727610347,0,5874358327,20856084
1727610371,0,5218781281,20856086
1727610419,0,4996696752,20856090
1727610467,0,6279735546,20856094
1727610491,0,6944697530,20856096
1727610491,0,5444697530,20856096
1727610563,0,5713215495,20856102
1727610563,0,8854169948,20856102
1727610563,0,5708335264,20856102
1727610599,0,5675139818,20856105
1727610623,0,5657623879,20856107
1727610635,0,22366191299,20856108
1727610647,0,5775308567,20856109
1727610671,0,5599729331,20856111
1727610719,0,5400000000,20856115
1727610803,0,6011018640,20856122
1727610815,0,7055179810,20856123
1727610827,0,5898603920,20856124
1727610851,0,5944063174,20856126
1727610875,0,6021518303,20856128
1727610875,0,5521518303,20856128
1727610875,0,7021518303,20856128
1727610899,0,9997524915,20856130
1727610911,0,10407762073,20856131
1727610923,0,5755507749,20856132
1727610959,0,6344302517,20856135
1727610995,0,5795190042,20856138
1727611007,0,6486371251,20856139
1727611019,0,10628254916,20856140
1727611031,0,5282944037,20856141
1727611031,0,5231944037,20856141
1727611043,0,5536360291,20856142
1727611043,0,5516931165,20856142
1727611055,0,5223135263,20856143
1727611091,0,5709508583,20856146
1727611175,0,5713921683,20856153
1727611175,0,5814269992,20856153
1727611223,0,6792154577,20856157
1727611235,0,4840391683,20856158
1727611247,0,5596671166,20856159
1727611295,0,56629328714,20856163
1727611319,0,9948293295,20856165
1727611331,0,5828302993,20856166
1727611331,0,9798782636,20856166
1727611343,0,6245176454,20856167
1727611379,0,35605706181,20856170
1727611391,0,6917971531,20856171
1727611403,0,76481395255,20856172
1727611463,0,7763150067,20856177
1727611475,0,7727620199,20856178
1727611487,0,7076539707,20856179
1727611535,0,6795446073,20856183
1727611547,0,6505636346,20856184
1727611583,0,7363527109,20856187
1727611595,0,7783955626,20856188
1727611607,0,7243966562,20856189
1727611631,0,6850180003,20856191
1727611679,0,6800000000,20856195
1727611691,0,8373713765,20856196
1727611703,0,6568388985,20856197
1727611715,0,5818831599,20856198
1727611763,0,6982086179,20856202
1727611775,0,11471614286,20856203
1727611847,0,5108639686,20856209
1727611847,0,7116639686,20856209
1727611847,0,22500466257,20856209
1727611847,0,5059639686,20856209
1727611871,0,6442031908,20856211
1727611883,0,5711352414,20856212
1727611943,0,6000000000,20856217
1727611991,0,7203847655,20856221
1727612015,0,6829263935,20856223
1727612015,0,6508610656,20856223
1727612015,0,6829263935,20856223
1727612075,0,8190328147,20856228
1727612075,0,6284744670,20856228
1727612099,0,7464842212,20856230
1727612183,0,4964108063,20856237
1727612183,0,4964108063,20856237
1727612207,0,5772737021,20856239
1727612219,0,6518212071,20856240
1727612231,0,6586194402,20856241
1727612255,0,6155461120,20856243
1727612267,0,22250838480,20856244
1727612279,0,17261935379,20856245
1727612279,0,6743649822,20856245
1727612291,0,6285990402,20856246
1727612303,0,6946154693,20856247
1727612339,0,7382987279,20856250
1727612375,0,8744838044,20856253
1727612399,0,11071684611,20856255
1727612411,0,6058618301,20856256
1727612423,0,22612550500,20856257
1727612459,0,7602117100,20856260
1727612471,0,36692974172,20856261
1727612507,0,7191222844,20856264
1727612543,0,6232656647,20856267
1727612567,0,26505707918,20856269
1727612579,0,32017972910,20856270
1727612675,0,33400967887,20856278
1727612711,0,7300000000,20856281
1727612723,0,7107451774,20856282
1727612735,0,6288871192,20856283
1727612735,0,8491306838,20856283
1727612759,0,7394688733,20856285
1727612771,0,6261947438,20856286
1727612783,0,6717112168,20856287
1727612795,0,7829259964,20856288
1727612807,0,6070851222,20856289
1727612819,0,39299167741,20856290
1727612819,0,7147063603,20856290
1727612831,0,6748067319,20856291
1727612867,0,6698057041,20856294
1727612927,0,6211009094,20856299
1727612963,0,6334832861,20856302
1727613059,0,6522369567,20856310
1727613095,0,5975375660,20856313
1727613095,0,6000341727,20856313
1727613119,0,5776790040,20856315
1727613155,0,5484985924,20856318
1727613179,0,7408718949,20856320
1727613215,0,5425475610,20856323
1727613239,0,6943244218,20856325
1727613251,0,49413546096,20856326
1727613263,0,32367784705,20856327
1727613323,0,6305741760,20856332
1727613323,0,5535741760,20856332
1727613323,0,6276641760,20856332
1727613323,0,6335741760,20856332
1727613371,0,6341467782,20856336
1727613371,0,5401507782,20856336
1727613407,0,20925669653,20856339
1727613443,0,5557881207,20856342
1727613443,0,12797895886,20856342
1727613443,0,5557881207,20856342
1727613467,0,5299890155,20856344
1727613467,0,5299890155,20856344
1727613467,0,7356950155,20856344
1727613503,0,6458543908,20856347
1727613515,0,8548333992,20856348
1727613539,0,5929351913,20856350
1727613575,0,7910944647,20856353
1727613623,0,5940637746,20856357
1727613623,0,7013840473,20856357
1727613623,0,6151997894,20856357
1727613623,0,7051997894,20856357
1727613635,0,6450468189,20856358
1727613827,0,6246336130,20856374
1727613887,0,6531930077,20856379
1727613887,0,7435930077,20856379
1727613947,0,7156285757,20856384
1727613971,0,27589277769,20856386
1727614079,0,10086805294,20856395
1727614103,0,8630651152,20856397
1727614175,0,7395582979,20856403
1727614175,0,7273832979,20856403
1727614223,0,7050463190,20856407
1727614247,0,6928342272,20856409
1727614295,0,7191119231,20856413
1727614307,0,10153657780,20856414
1727614307,0,6107378544,20856414
1727614319,0,7230290204,20856415
1727614355,0,10564058559,20856418
1727614355,0,7230647007,20856418
1727614391,0,6852702469,20856421
1727614391,0,8143819254,20856421
1727614403,0,7373876405,20856422
1727614403,0,39518471503,20856422
